,Lat,Lon,FINAL_SEAMS_ZONE
249,46.648,-100.181,MN-C
1218,46.648,-100.181,MN-C
1693,46.648,-100.181,MN-C
1694,46.648,-100.181,MN-C
1710,46.648,-100.181,NA
249,46.693000000000005,-100.14,MN-C
1218,46.693000000000005,-100.14,MN-C
1693,46.693000000000005,-100.14,MN-C
1694,46.693000000000005,-100.14,MN-C
1710,46.693000000000005,-100.14,NA
249,46.71,-96.338,MN-C
1237,46.71,-96.338,MN-C
1266,46.71,-96.338,MN-C
1267,46.71,-96.338,MN-C
1268,46.71,-96.338,MN-C
249,46.736999999999995,-100.27600000000001,MN-C
1218,46.736999999999995,-100.27600000000001,MN-C
1693,46.736999999999995,-100.27600000000001,MN-C
1694,46.736999999999995,-100.27600000000001,MN-C
1710,46.736999999999995,-100.27600000000001,NA
249,46.761,-101.389,MN-C
1693,46.761,-101.389,MN-C
1694,46.761,-101.389,MN-C
1701,46.761,-101.389,MN-C
249,46.766000000000005,-102.39200000000001,MN-C
1693,46.766000000000005,-102.39200000000001,MN-C
1694,46.766000000000005,-102.39200000000001,MN-C
1700,46.766000000000005,-102.39200000000001,MN-C
249,46.773999999999994,-100.596,MN-C
1218,46.773999999999994,-100.596,MN-C
1693,46.773999999999994,-100.596,MN-C
1694,46.773999999999994,-100.596,MN-C
1710,46.773999999999994,-100.596,NA
249,46.776,-100.432,MN-C
1218,46.776,-100.432,MN-C
1693,46.776,-100.432,MN-C
1694,46.776,-100.432,MN-C
1710,46.776,-100.432,NA
249,46.778,-96.527,MN-C
1253,46.778,-96.527,MN-C
1266,46.778,-96.527,MN-C
1267,46.778,-96.527,MN-C
1268,46.778,-96.527,MN-C
249,46.816,-97.781,MN-C
1218,46.816,-97.781,MN-C
1702,46.816,-97.781,NA
1712,46.816,-97.781,NA
249,46.831,-96.87799999999999,MN-C
1218,46.831,-96.87799999999999,MN-C
1220,46.831,-96.87799999999999,MN-C
1702,46.831,-96.87799999999999,MN-C
249,46.857,-101.281,MN-C
1693,46.857,-101.281,MN-C
1694,46.857,-101.281,MN-C
1701,46.857,-101.281,MN-C
249,46.898,-104.368,MN-C
1693,46.898,-104.368,MN-C
249,46.898,-100.18,MN-C
1218,46.898,-100.18,MN-C
1693,46.898,-100.18,MN-C
