resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,38,42,575464.4372,632.2875999999999
ATC6hour,500,3000,0.2,2500,375,500,709.1984000000001,1.3384000000000003
CBPC-NIPCO6hour,500,3000,0.2,2500,93,109,3779.2284000000004,11.321999999999997
CONS6hour,500,3000,0.2,2500,250,500,3141.759600000001,5.365600000000001
DECO6hour,500,3000,0.2,2500,0,500,1.1143999999999998,0.003999999999999998
EES-ARK6hour,500,3000,0.2,2500,125,156,527.1472,1.3103999999999996
EES-TX6hour,500,3000,0.2,2500,31,46,53010.0408,126.19160000000002
IA-E6hour,500,3000,0.2,2500,375,437,1403.0188,2.7099999999999995
IL-C6hour,500,3000,0.2,2500,0,500,17.28,0.0456
IN-C6hour,500,3000,0.2,2500,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,2500,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,2500,38,42,660117.3387999999,856.9904
LA-N6hour,500,3000,0.2,2500,156,171,3937.8936,8.403199999999996
MEC6hour,500,3000,0.2,2500,31,46,190773.4464,140.53039999999996
MISO-MO6hour,500,3000,0.2,2500,125,140,33015.832800000004,56.305600000000005
MISO-MS6hour,500,3000,0.2,2500,62,69,150068.42319999996,279.09479999999996
MN-C6hour,500,3000,0.2,2500,437,500,613.2520000000002,1.6708000000000003
MN-NE6hour,500,3000,0.2,2500,437,500,49.3028,0.33640000000000003
MN-SE6hour,500,3000,0.2,2500,437,500,15987.085199999998,9.756000000000002
NIPS6hour,500,3000,0.2,2500,0,500,0.0,0.0
SIPC6hour,500,3000,0.2,2500,296,312,0.0,0.0
UPPC6hour,500,3000,0.2,2500,437,500,144.58639999999997,1.784
