resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilityWind,500,0.2,2500,62,125,88.46399999999998,0.1872
ATCUtilityWind,500,0.2,2500,0,62,1.7720000000000002,0.005999999999999999
CBPC-NIPCOUtilityWind,500,0.2,2500,0,62,491.0996,1.1888000000000003
CONSUtilityWind,500,0.2,2500,62,125,6.972399999999999,0.012400000000000001
DECOUtilityWind,500,0.2,2500,62,125,0.0,0.0
EES-ARKUtilityWind,500,0.2,2500,0,62,0.0,0.0
EES-TXUtilityWind,500,0.2,2500,62,125,83.46640000000001,0.28119999999999995
IA-EUtilityWind,500,0.2,2500,62,125,10.590000000000002,0.030400000000000007
IL-CUtilityWind,500,0.2,2500,0,62,0.6287999999999997,0.004000000000000001
IN-CUtilityWind,500,0.2,2500,0,62,0.0,0.0
IN-SUtilityWind,500,0.2,2500,0,62,0.0,0.0
LA-GULFUtilityWind,500,0.2,2500,0,62,159.102,0.4172
LA-NUtilityWind,500,0.2,2500,0,62,11.887600000000003,0.03200000000000001
MECUtilityWind,500,0.2,2500,0,62,875.7008,1.0596
MISO-MOUtilityWind,500,0.2,2500,0,62,4.691199999999999,0.024399999999999988
MISO-MSUtilityWind,500,0.2,2500,0,62,49.606800000000014,0.2748000000000001
MN-CUtilityWind,500,0.2,2500,125,187,32.9464,0.14039999999999994
MN-NEUtilityWind,500,0.2,2500,125,187,1.5503999999999996,0.0212
MN-SEUtilityWind,500,0.2,2500,62,125,128.62519999999998,0.27919999999999995
NIPSUtilityWind,500,0.2,2500,62,125,0.0,0.0
SIPCUtilityWind,500,0.2,2500,0,62,0.0,0.0
UPPCUtilityWind,500,0.2,2500,62,125,1.6384000000000007,0.11279999999999998
