resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,0,15,3.0287817175999996e6,644.0284000000001
ATC6hour,500,3000,0.2,2500,15,31,1.7046978408000001e6,471.1428
CBPC-NIPCO6hour,500,3000,0.2,2500,0,15,418702.1004,516.3336
CONS6hour,500,3000,0.2,2500,0,15,2.5531370756000006e6,531.8816000000002
DECO6hour,500,3000,0.2,2500,0,15,525687.3808,302.0116
EES-ARK6hour,500,3000,0.2,2500,0,7,402300.25480000005,338.68480000000005
EES-TX6hour,500,3000,0.2,2500,0,7,2.217315596e6,1256.7436
IA-E6hour,500,3000,0.2,2500,0,15,1.7281943875999996e6,498.0863999999999
IL-C6hour,500,3000,0.2,2500,0,15,1.5271703847999997e6,495.9323999999999
IN-C6hour,500,3000,0.2,2500,15,31,40956.698,66.8944
IN-S6hour,500,3000,0.2,2500,0,15,5.9228,0.05400000000000001
LA-GULF6hour,500,3000,0.2,2500,0,7,5.3142457352e6,1490.6527999999996
LA-N6hour,500,3000,0.2,2500,0,7,2.143768418400001e6,989.2168000000001
MEC6hour,500,3000,0.2,2500,0,15,3.0011747679999997e6,536.1204
MISO-MO6hour,500,3000,0.2,2500,0,15,2.678121332e6,578.3136000000001
MISO-MS6hour,500,3000,0.2,2500,0,7,2.3156014864000003e6,1319.8847999999998
MN-C6hour,500,3000,0.2,2500,0,15,418309.25960000005,374.70199999999994
MN-NE6hour,500,3000,0.2,2500,15,31,113651.96319999997,298.0828000000001
MN-SE6hour,500,3000,0.2,2500,0,15,2.1080518492e6,459.21880000000004
NIPS6hour,500,3000,0.2,2500,15,31,35447.5316,114.61120000000001
SIPC6hour,500,3000,0.2,2500,15,31,307.35799999999995,11.7812
UPPC6hour,500,3000,0.2,2500,15,31,99257.48800000001,456.6648
