resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,437,468,560.1140000000003,0.72
ATC6hour,500,3000,0.2,2500,437,500,21.016799999999996,0.0632
CBPC-NIPCO6hour,500,3000,0.2,2500,312,375,248.39800000000002,1.0655999999999999
CONS6hour,500,3000,0.2,2500,250,312,25.6368,0.0564
DECO6hour,500,3000,0.2,2500,312,375,0.18240000000000006,0.002
EES-ARK6hour,500,3000,0.2,2500,218,234,7.546,0.021199999999999997
EES-TX6hour,500,3000,0.2,2500,156,187,1435.8476,2.6255999999999995
IA-E6hour,500,3000,0.2,2500,187,250,81.36600000000001,0.15280000000000002
IL-C6hour,500,3000,0.2,2500,375,437,8.157999999999998,0.015600000000000003
IN-C6hour,500,3000,0.2,2500,437,500,0.0,0.0
IN-S6hour,500,3000,0.2,2500,312,375,0.0,0.0
LA-GULF6hour,500,3000,0.2,2500,250,281,4739.0392,6.063200000000002
LA-N6hour,500,3000,0.2,2500,125,156,198.22439999999997,0.39240000000000014
MEC6hour,500,3000,0.2,2500,312,375,1486.4147999999996,1.3256000000000001
MISO-MO6hour,500,3000,0.2,2500,343,375,46.294,0.142
MISO-MS6hour,500,3000,0.2,2500,187,218,1167.1544000000001,2.9648000000000008
MN-C6hour,500,3000,0.2,2500,250,312,64.2376,0.21680000000000002
MN-NE6hour,500,3000,0.2,2500,375,437,1.980000000000001,0.016
MN-SE6hour,500,3000,0.2,2500,375,437,603.4908000000001,0.618
NIPS6hour,500,3000,0.2,2500,312,375,0.0,0.0
SIPC6hour,500,3000,0.2,2500,250,312,0.0012000000000000003,0.0012000000000000003
UPPC6hour,500,3000,0.2,2500,250,312,12.956799999999996,0.17400000000000007
