resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,31,38,114091.13280000002,239.7524
ATC6hour,500,3000,0.2,2500,375,500,52.242000000000004,0.18159999999999998
CBPC-NIPCO6hour,500,3000,0.2,2500,38,46,5853.678400000001,19.946800000000003
CONS6hour,500,3000,0.2,2500,0,500,251.4475999999999,0.6676
DECO6hour,500,3000,0.2,2500,0,500,0.0,0.0
EES-ARK6hour,500,3000,0.2,2500,437,500,61.1084,0.16320000000000004
EES-TX6hour,500,3000,0.2,2500,62,77,7698.421199999999,30.1988
IA-E6hour,500,3000,0.2,2500,187,218,234.32480000000004,1.034
IL-C6hour,500,3000,0.2,2500,250,500,0.8595999999999998,0.006799999999999996
IN-C6hour,500,3000,0.2,2500,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,2500,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,2500,27,31,207770.0596,438.4880000000001
LA-N6hour,500,3000,0.2,2500,187,250,249.42640000000003,0.7732
MEC6hour,500,3000,0.2,2500,46,54,229309.51480000003,282.39559999999994
MISO-MO6hour,500,3000,0.2,2500,125,156,1778.8283999999996,4.6144
MISO-MS6hour,500,3000,0.2,2500,46,54,49664.17239999999,132.98560000000003
MN-C6hour,500,3000,0.2,2500,218,250,357.0136,1.7523999999999997
MN-NE6hour,500,3000,0.2,2500,312,343,39.287200000000006,0.4268
MN-SE6hour,500,3000,0.2,2500,218,250,8589.034400000002,13.044
NIPS6hour,500,3000,0.2,2500,0,500,0.0,0.0
SIPC6hour,500,3000,0.2,2500,343,375,0.0,0.0
UPPC6hour,500,3000,0.2,2500,343,375,56.82800000000001,0.8564000000000002
