resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,5000,46,54,114448.6676,239.67460000000003
ATC6hour,500,3000,0.2,5000,437,500,69.34239999999998,0.20640000000000003
CBPC-NIPCO6hour,500,3000,0.2,5000,38,42,5897.911000000001,20.01840000000001
CONS6hour,500,3000,0.2,5000,0,500,263.4442000000001,0.7166000000000002
DECO6hour,500,3000,0.2,5000,0,500,0.0018000000000000004,0.00020000000000000004
EES-ARK6hour,500,3000,0.2,5000,437,500,45.050200000000004,0.14460000000000003
EES-TX6hour,500,3000,0.2,5000,77,93,7740.701200000001,30.405200000000008
IA-E6hour,500,3000,0.2,5000,156,187,240.7846,1.0448000000000002
IL-C6hour,500,3000,0.2,5000,250,500,0.4854000000000003,0.0024000000000000015
IN-C6hour,500,3000,0.2,5000,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,5000,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,5000,19,23,208171.03700000007,438.9526
LA-N6hour,500,3000,0.2,5000,218,250,259.97119999999995,0.8308000000000002
MEC6hour,500,3000,0.2,5000,27,31,228608.4336,281.94719999999995
MISO-MO6hour,500,3000,0.2,5000,125,156,1756.0117999999998,4.6232
MISO-MS6hour,500,3000,0.2,5000,46,54,51327.36299999999,136.18700000000004
MN-C6hour,500,3000,0.2,5000,250,281,336.5342,1.6695999999999998
MN-NE6hour,500,3000,0.2,5000,281,312,46.4358,0.4208
MN-SE6hour,500,3000,0.2,5000,156,187,8430.452000000003,12.898600000000004
NIPS6hour,500,3000,0.2,5000,0,500,0.0,0.0
SIPC6hour,500,3000,0.2,5000,343,375,0.0,0.0
UPPC6hour,500,3000,0.2,5000,281,312,58.2818,0.8882000000000003
