resourcename,capacity,pval,samples,minelcc,maxelcc,zoneEUE,zoneLOLE
AECIZUtilitySolar,500,0.2,5000,47,48,8.614949880199999e6,7742.437799999998
ATCUtilitySolar,500,0.2,5000,0,500,1549.8863999999999,3.5262
CBPC-NIPCOUtilitySolar,500,0.2,5000,79,81,1.1165733279999997e6,4204.414800000001
CONSUtilitySolar,500,0.2,5000,484,500,304001.3546,366.9769999999999
DECOUtilitySolar,500,0.2,5000,0,500,6.996599999999999,0.026000000000000002
EES-ARKUtilitySolar,500,0.2,5000,0,500,270.65799999999996,0.8168000000000003
EES-TXUtilitySolar,500,0.2,5000,327,331,292556.8277999999,825.7054
IA-EUtilitySolar,500,0.2,5000,206,210,1.0495363546e6,1573.3706000000004
IL-CUtilitySolar,500,0.2,5000,375,500,16681.776800000003,33.02979999999999
IN-CUtilitySolar,500,0.2,5000,0,500,0.0744,0.0006000000000000001
IN-SUtilitySolar,500,0.2,5000,0,500,0.0,0.0
LA-GULFUtilitySolar,500,0.2,5000,99,101,2.8247333031999995e6,3561.578999999999
LA-NUtilitySolar,500,0.2,5000,0,500,1416.4671999999998,3.6870000000000003
MECUtilitySolar,500,0.2,5000,179,183,2.1969075326000005e6,1980.4815999999998
MISO-MOUtilitySolar,500,0.2,5000,484,500,262922.08319999994,332.3336
MISO-MSUtilitySolar,500,0.2,5000,206,210,751655.2747999999,1494.8458000000003
MN-CUtilitySolar,500,0.2,5000,444,448,112396.72159999999,422.0177999999999
MN-NEUtilitySolar,500,0.2,5000,492,500,5839.758199999999,46.208400000000026
MN-SEUtilitySolar,500,0.2,5000,484,500,173966.92599999998,242.85020000000003
NIPSUtilitySolar,500,0.2,5000,0,500,129.01580000000004,0.9730000000000003
SIPCUtilitySolar,500,0.2,5000,273,274,253.17440000000002,9.952200000000001
UPPCUtilitySolar,500,0.2,5000,32,33,509823.2124,8760.0
