resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,38,42,1.2276704763999998e6,982.4983999999996
ATC6hour,500,3000,0.2,2500,375,500,4156.986,4.679600000000002
CBPC-NIPCO6hour,500,3000,0.2,2500,125,140,3706.7064000000005,8.358399999999996
CONS6hour,500,3000,0.2,2500,375,500,14994.678399999999,14.6876
DECO6hour,500,3000,0.2,2500,0,500,114.8976,0.19320000000000004
EES-ARK6hour,500,3000,0.2,2500,125,156,3826.3935999999994,6.3752
EES-TX6hour,500,3000,0.2,2500,46,54,147509.9024,241.6028
IA-E6hour,500,3000,0.2,2500,437,500,1607.4596,2.4159999999999995
IL-C6hour,500,3000,0.2,2500,250,500,455.71239999999995,0.7992000000000004
IN-C6hour,500,3000,0.2,2500,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,2500,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,2500,7,11,1.3244488055999998e6,1196.2920000000001
LA-N6hour,500,3000,0.2,2500,109,125,24488.118000000002,33.546799999999976
MEC6hour,500,3000,0.2,2500,93,109,264954.47439999995,124.316
MISO-MO6hour,500,3000,0.2,2500,46,62,172596.76560000004,190.39600000000002
MISO-MS6hour,500,3000,0.2,2500,62,69,297060.2711999999,402.1727999999999
MN-C6hour,500,3000,0.2,2500,312,375,565.0899999999999,1.2856
MN-NE6hour,500,3000,0.2,2500,437,500,155.32080000000005,0.6516000000000002
MN-SE6hour,500,3000,0.2,2500,437,500,16224.340400000003,8.877199999999997
NIPS6hour,500,3000,0.2,2500,0,500,0.11839999999999999,0.0016
SIPC6hour,500,3000,0.2,2500,327,343,0.0,0.0
UPPC6hour,500,3000,0.2,2500,437,500,291.3483999999998,2.499999999999999
