resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,35,36,8.623531722399998e6,7742.294800000001
ATC6hour,500,3000,0.2,2500,0,500,1549.7876,3.5279999999999996
CBPC-NIPCO6hour,500,3000,0.2,2500,65,67,1.1169012292000009e6,4205.305999999998
CONS6hour,500,3000,0.2,2500,484,500,301402.4432,364.71919999999994
DECO6hour,500,3000,0.2,2500,0,500,10.681999999999999,0.025200000000000014
EES-ARK6hour,500,3000,0.2,2500,0,500,239.13200000000015,0.7612000000000001
EES-TX6hour,500,3000,0.2,2500,226,234,291026.5296,825.2040000000002
IA-E6hour,500,3000,0.2,2500,167,171,1.0546032563999996e6,1577.3847999999998
IL-C6hour,500,3000,0.2,2500,375,500,16821.852000000003,33.206000000000024
IN-C6hour,500,3000,0.2,2500,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,2500,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,2500,67,69,2.8098671807999997e6,3562.7835999999993
LA-N6hour,500,3000,0.2,2500,0,500,1280.1819999999998,3.449200000000001
MEC6hour,500,3000,0.2,2500,136,140,2.1966392304000007e6,1980.3895999999997
MISO-MO6hour,500,3000,0.2,2500,484,500,268094.306,336.42359999999985
MISO-MS6hour,500,3000,0.2,2500,156,163,750412.126,1492.7696
MN-C6hour,500,3000,0.2,2500,343,351,113821.5124,425.70839999999987
MN-NE6hour,500,3000,0.2,2500,484,500,5866.190000000001,46.084799999999994
MN-SE6hour,500,3000,0.2,2500,468,500,173871.0004,242.62239999999994
NIPS6hour,500,3000,0.2,2500,0,500,141.08400000000003,1.024
SIPC6hour,500,3000,0.2,2500,265,267,271.0111999999999,10.390399999999998
UPPC6hour,500,3000,0.2,2500,27,28,509824.2136,8760.0
