resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,2500,38,46,317284.3408,447.83520000000004
ATC6hour,500,3000,0.2,2500,375,500,420.1296,0.9884000000000001
CBPC-NIPCO6hour,500,3000,0.2,2500,38,46,9737.693599999999,32.8524
CONS6hour,500,3000,0.2,2500,0,500,1630.4620000000002,3.414
DECO6hour,500,3000,0.2,2500,0,500,0.8444000000000003,0.0036
EES-ARK6hour,500,3000,0.2,2500,187,218,289.976,0.8724000000000003
EES-TX6hour,500,3000,0.2,2500,77,93,29913.24,84.04
IA-E6hour,500,3000,0.2,2500,281,312,1124.9179999999997,3.774000000000001
IL-C6hour,500,3000,0.2,2500,250,500,4.103599999999999,0.020000000000000004
IN-C6hour,500,3000,0.2,2500,0,500,0.0,0.0
IN-S6hour,500,3000,0.2,2500,0,500,0.0,0.0
LA-GULF6hour,500,3000,0.2,2500,27,31,416349.4844,670.7664
LA-N6hour,500,3000,0.2,2500,156,187,1591.8496000000002,4.0196000000000005
MEC6hour,500,3000,0.2,2500,38,46,342648.9083999999,361.81359999999995
MISO-MO6hour,500,3000,0.2,2500,109,125,10237.097999999998,21.7636
MISO-MS6hour,500,3000,0.2,2500,38,46,109826.7252,242.09639999999996
MN-C6hour,500,3000,0.2,2500,312,343,695.434,2.8568000000000002
MN-NE6hour,500,3000,0.2,2500,250,312,76.01199999999999,0.6183999999999998
MN-SE6hour,500,3000,0.2,2500,250,281,19902.157999999992,21.954000000000004
NIPS6hour,500,3000,0.2,2500,0,500,0.0164,0.00039999999999999996
SIPC6hour,500,3000,0.2,2500,312,327,0.0,0.0
UPPC6hour,500,3000,0.2,2500,312,375,177.1044,2.0764000000000005
