resourcename,capacity,energy,pval,samples,minelcc,maxelcc,ZoneEUE,ZoneLOLE
AECIZ6hour,500,3000,0.2,5000,156,171,9701.0306,4.6914
ATC6hour,500,3000,0.2,5000,187,218,583.3234,0.8418
CBPC-NIPCO6hour,500,3000,0.2,5000,125,156,776.9274000000001,1.6958000000000004
CONS6hour,500,3000,0.2,5000,218,250,1654.7267999999997,1.2918000000000003
DECO6hour,500,3000,0.2,5000,218,250,80.7582,0.1584
EES-ARK6hour,500,3000,0.2,5000,93,101,357.76700000000005,0.639
EES-TX6hour,500,3000,0.2,5000,69,77,15069.1478,21.1414
IA-E6hour,500,3000,0.2,5000,187,218,1885.9740000000006,1.3461999999999998
IL-C6hour,500,3000,0.2,5000,218,250,778.6338000000002,0.656
IN-C6hour,500,3000,0.2,5000,218,250,1.3547999999999996,0.0048
IN-S6hour,500,3000,0.2,5000,187,218,0.0,0.0
LA-GULF6hour,500,3000,0.2,5000,77,85,58647.0074,39.60320000000001
LA-N6hour,500,3000,0.2,5000,77,85,5008.5384,7.015200000000002
MEC6hour,500,3000,0.2,5000,187,218,4835.537999999999,2.4364000000000003
MISO-MO6hour,500,3000,0.2,5000,156,187,1942.7619999999997,2.1710000000000003
MISO-MS6hour,500,3000,0.2,5000,93,101,17921.535799999998,27.055
MN-C6hour,500,3000,0.2,5000,218,250,218.45200000000003,0.4926000000000001
MN-NE6hour,500,3000,0.2,5000,156,187,10.001399999999999,0.0628
MN-SE6hour,500,3000,0.2,5000,156,187,4285.552199999999,2.1071999999999993
NIPS6hour,500,3000,0.2,5000,156,187,4.2392,0.025600000000000008
SIPC6hour,500,3000,0.2,5000,202,218,0.3568,0.0206
UPPC6hour,500,3000,0.2,5000,156,187,54.00099999999999,0.7876000000000002
